Clan,Name,Class,ParagonLvl,CombatRating,Status,Resonance,DMG,HP,Image,Contribution
AftershockUnitedPrime,Ragna,Wizard,115,2761,True,1250,4930,55979,image,600
,Phantasy,,,,False,,,,,
AftershockUnitedGold,Rawen,Crusader,12,2654,True,330,3658,52655,image,770
AftershockUnitedPrime,Nalianth,Barbarian,118,3037,True,1030,4816,60203,image,585
AftershockUnitedPrime,MazeLover95,Demon Hunter,101,2296,True,390,3941,41887,image,500
AftershockUnitedPrime,blames,Wizard,114,2786,True,1110,5030,56530,image,720
AftershockUnitedGold,JerkaJihad,Necromancer,128,3114,True,1315,5264,54861,image,790
AftershockUnitedPrime,Ktulu,Crusader,119,2981,True,1451,5666,66330,image,910
AftershockUnitedGold,Deadlysinz,Barbarian,108,2300,True,480,3834,48972,image,740
AftershockUnitedPrime,usma6100,Demon Hunter,118,2761,True,560,3704,54308,image,870
AftershockUnitedSilver,Evernurse,Wizard,117,3206,True,2500,6499,70817,image,505
AftershockUnitedPrime,Deadshadows,Wizard,121,2980,True,1350,5277,60148,image,955
,FkrGayWiz,,,,False,,,,,
,DrLazar,,,,False,,,,,
AftershockUnitedPrime,Eriksson,Barbarian,111,2415,True,625,4294,54117,image,590
,thesnelley,,,,False,,,,,
AftershockUnitedPrime,EndlessChaos,Demon Hunter,122,2921,True,1240,5138,58315,image,645
AftershockUnitedGold,Kronicbud,Demon Hunter,102,2379,True,533,4339,49285,image,675
AftershockUnitedGold,JerryQ,Demon Hunter,113,1866,True,375,3699,43435,image,740
AftershockUnitedSilver,Raul,Barbarian,118,2647,True,900,4626,53871,image,830
AftershockUnitedPrime,Tenibray,Barbarian,10,2566,True,1112,4606,59087,image,710
AftershockUnitedGold,Satchismo,Necromancer,118,2712,True,650,4517,58038,image,550
,DosDueces,,,,False,,,,,
AftershockUnitedPrime,CalebXIII,Barbarian,111,2179,True,465,4028,45023,image,440
AftershockUnitedPrime,Rasta,Necromancer,119,2734,True,605,4040,52707,image,660
AftershockUnitedGold,Nooch,Barbarian,105,2194,True,959,4440,56056,image,600
AftershockUnitedPrime,Mjolnir,Crusader,12,3025,True,1242,4995,60930,image,675
AftershockUnitedGold,GhostRider91,Crusader,10,2324,True,540,3683,54096,image,800
AftershockUnitedGold,SpicyNoodles,Demon Hunter,101,2095,True,450,3625,45890,image,520
AftershockUnitedPrime,Cayzi,Wizard,111,2467,True,900,4645,53788,image,760
AftershockUnitedGold,Zohbot,Monk,116,2777,True,1040,5003,59522,image,685
AftershockUnitedSilver,CruncySocks,Wizard,108,2091,True,420,3740,45744,image,630
AftershockUnitedGold,REAPER420,Wizard,119,2618,True,405,3477,46529,image,765
AftershockUnitedPrime,ValDizzar,Wizard,125,2947,True,1620,4989,65153,image,670
AftershockUnitedGold,Marik,Demon Hunter,119,2730,True,850,4554,53127,image,720
,l3oner,,,,False,,,,,
,ULTiMFiNGMATiCUS,,,,False,,,,,
AftershockUnitedPrime,Xelor,Wizard,117,2862,True,930,5118,53248,image,660
AftershockUnitedPrime,Pretorian,Crusader,118,2670,True,420,3808,54895,image,730
AftershockUnitedPrime,ScrumpBuster,Necromancer,117,2667,True,880,4628,51943,image,675
AftershockUnitedPrime,NovaStars,Demon Hunter,117,2591,True,485,4101,50320,image,615
AftershockUnitedSilver,MadmadamMim,Necromancer,85,1151,True,210,3052,36804,image,380
AftershockUnitedPrime,DrMatt,Necromancer,10,2095,True,692,3763,50105,image,490
AftershockUnitedGold,Vye,Necromancer,108,2486,True,390,3428,49649,image,565
AftershockUnitedGold,Berouth,Demon Hunter,117,2370,True,630,4575,55004,image,675
AftershockUnitedPrime,Blacklizard,Crusader,121,2750,True,1085,4904,56626,image,400
AftershockUnitedPrime,Orbs,Monk,117,2733,True,420,3434,48762,image,725
AftershockUnitedSilver,Signs,Demon Hunter,111,2196,True,1070,4814,46426,image,550
,WG,,,,False,,,,,
AftershockUnitedGold,DMaestro,Demon Hunter,122,2910,True,1030,4745,64781,image,660
AftershockUnitedPrime,Havocqq,Monk,121,2835,True,1110,4747,61345,image,760
AftershockUnitedGold,MrWulf,Necromancer,99,2310,True,525,3690,49655,image,350
AftershockUnitedSilver,SidesChick123,Necromancer,101,2208,True,285,3548,46479,image,360
AftershockUnitedSilver,DL,Demon Hunter,116,2714,True,971,4619,49199,image,600
AftershockUnitedSilver,Searim,Necromancer,101,1852,True,360,3291,39979,image,260
AftershockUnitedGold,Ducat,Demon Hunter,123,3284,True,2231,6579,76725,image,785
AftershockUnitedPrime,Zip,Wizard,112,2765,True,1300,5025,60560,image,520
AftershockUnitedGold,Halidis,Demon Hunter,110,2569,True,560,3717,51514,image,640
AftershockUnitedPrime,RedHand,Demon Hunter,107,2478,True,1570,5447,63131,image,655
AftershockUnitedGold,AnkleBreaker,Crusader,116,2604,True,1470,5216,57779,image,530
AftershockUnitedSilver,Bigbonar,Necromancer,115,2348,True,600,4167,46718,image,740
AftershockUnitedSilver,BKLTD,Barbarian,83,1610,True,360,3877,40405,image,380
AftershockUnitedSilver,Redmeda,Barbarian,116,2592,True,740,5032,54091,image,445
AftershockUnitedGold,Allintime,Demon Hunter,114,2778,True,1644,5422,64334,image,700
,Rahnia,,,,False,,,,,
,Statics,,,,False,,,,,
AftershockUnitedGold,Elduker,Necromancer,119,2992,True,1830,6165,63007,image,760
AftershockUnitedPrime,MetalTip,Demon Hunter,112,2698,True,993,4808,54940,image,580
AftershockUnitedGold,Jaspin,Wizard,107,2365,True,420,4162,45945,image,695
AftershockUnitedGold,Pepper23,Monk,114,2285,True,805,4019,56246,image,535
AftershockUnitedSilver,Tizzy,Barbarian,111,2363,True,390,3987,50602,image,710
AftershockUnitedPrime,Laruhtard,Wizard,117,2210,True,780,4205,53188,image,730
AftershockUnitedGold,Rottencorpse,Necromancer,117,2657,True,739,4671,54100,image,690
AftershockUnitedSilver,Kronos,Barbarian,10,1854,True,345,3453,49405,image,660
AftershockUnitedGold,Cruz,Crusader,119,2277,True,405,4046,53188,image,520
AftershockUnitedPrime,Stalkzor,Crusader,112,2453,True,435,3955,50035,image,330
AftershockUnitedSilver,Audra,Necromancer,113,2629,True,1230,5024,53288,image,510
AftershockUnitedPrime,Animal,Crusader,116,2614,True,465,4059,50006,image,540
AftershockUnitedPrime,Ulynelm,Crusader,106,2404,True,995,4458,55287,image,520
,GrandLight,,,,False,,,,,
AftershockUnitedGold,Nimious,Wizard,114,2968,True,1700,5729,58242,image,730
AftershockUnitedPrime,Toadskii,Crusader,105,2256,True,790,4503,48205,image,710
AftershockUnitedGold,Seigie,Barbarian,117,2810,True,1180,5103,59239,image,320
AftershockUnitedSilver,Blackstaph,Necromancer,103,1783,True,375,3646,37025,image,540
AftershockUnitedPrime,DanHeilman,Necromancer,112,2633,True,1106,4910,52356,image,280
AftershockUnitedSilver,ThermicSea,Necromancer,86,1559,True,225,3309,45548,image,500
AftershockUnitedPrime,Repo,Demon Hunter,93,1759,True,395,3899,41877,image,310
AftershockUnitedGold,ZuzuGametime,Demon Hunter,115,2445,True,610,4870,47810,image,280
,Smoggy,,,,False,,,,,
AftershockUnitedGold,KnightFighter,Demon Hunter,113,2344,True,430,3964,42857,image,545
AftershockUnitedGold,TJB220,Barbarian,12,2534,True,1490,5074,65932,image,745
AftershockUnitedGold,Jankadank,Demon Hunter,114,2924,True,2140,5813,79308,image,730
AftershockUnitedPrime,BabaVoss,Barbarian,104,2126,True,1170,4768,59859,image,390
AftershockUnitedSilver,MSapient,Wizard,88,1235,True,360,3268,43394,image,340
AftershockUnitedSilver,Rapz,Demon Hunter,95,1797,True,495,3694,48410,image,670
AftershockUnitedPrime,Machineslave,Barbarian,10,2418,True,925,4598,56949,image,740
AftershockUnitedSilver,Borghild,Demon Hunter,113,1951,True,405,3249,45083,image,220
,ArachangelofDeath,,,,False,,,,,
AftershockUnitedGold,Monoxide,Demon Hunter,103,2422,True,1000,4877,50007,image,750
AftershockUnitedSilver,Sp4rt4cus,Crusader,92,1562,True,315,3362,43959,image,255
AftershockUnitedGold,Romme,Barbarian,111,2486,True,495,4398,54232,image,390
AftershockUnitedPrime,Amethyste,Necromancer,104,2583,True,450,3524,42784,image,160
AftershockUnitedPrime,Lucky,Necromancer,72,1846,True,495,3676,44022,image,80
AftershockUnitedPrime,Ansgar,Necromancer,117,2602,True,750,4348,43679,image,260
AftershockUnitedSilver,Excrementus,Necromancer,96,1434,True,345,3599,44292,image,80
AftershockUnitedSilver,Ringlord,Necromancer,89,1849,True,390,3942,40398,image,80
AftershockUnitedSilver,Bubblez,Necromancer,68,1290,True,440,3255,40507,image,240
